争论,主题
即使仅仅是测试核武器对环境和生活在其中的人类/动物都非常有害。,我们应该为废除核武器而战。
即使是未成年人也有身体自主权，应该被允许自行决定是否接受整形手术。,我们应该禁止未成年人进行整形手术
即使是一起意外引爆核武器的事故也会造成巨大的破坏，这种破坏是我们作为一个社会不应该接受的风险。,我们应该为废除核武器而奋斗。
我们语言中甚至简单的细微差别，比如用“警察”而不是“警官”，微妙地暗示了男性是默认的，我们需要做出改变来扭转这一情况。,我们应该采用性别中立的语言。
即使通过补贴实现对报纸的控制也会破坏其可信度。,我们应该补贴新闻业
即使是政府也不应该拥有随意杀害任何人的权力。,我们应该禁止有针对性的暗杀。
甚至因为资金而产生的偏见可能会削弱维基百科的宗旨。,我们应该对维基百科进行补贴
尽管否认大屠杀发生是愚昧和欺骗的，但并不达到犯罪的程度。,拒绝大屠杀的事实应该是一种违法行为
尽管发生过事故，但技术不断改进。现在停止开发将是适得其反的。,我们应该停止自动驾驶汽车的发展
即使陷阱发生，人们也并非被迫犯罪，仍然是自愿行动，这意味着它可以用来引诱社区中的捕食者。,诱捕应该合法化
即使离婚率很高，已婚夫妇和已婚父母的子女最终比未婚人士拥有更稳定和情感健康的生活。,我们应该放弃婚姻
即使没有诱捕，警方也能够进行诸如诱捕行动或秘密调查等活动，只要他们不挑衅犯罪行为，这能够针对并摧毁犯罪团伙。,"""诱导罪应该被合法化"""
最终我们将需要寻找其他行星作为紧急情况下的定居点。,我们应该资助太空探索。
每个孩子都有权利出生，无论其性别，因此性别选择不应被合法化。,我们应该合法化性别选择。
每个孩子都应该去规范的学校，接受家庭教育的孩子无法获得充分的教育。,家庭教育应该被禁止
根据权利法案，每个公民都有权烧国旗。,我们应该禁止烧国旗。
每个公民都有权获得某种形式的法律辩护，使用公共辩护律师是对这一基本民主立场的保证。,公共辩护律师的使用应该是强制性的
每家公司都应该有平等的机会为军队提供服务。,我们应该禁止私人军事公司
每家公司都希望拥有最优秀、最有才华的高管，他们的薪酬待遇决定了他们是否能够聘用到最优秀的人才。,我们应该限制高管的薪酬
每个国家都应该拥有武器来保卫自己以抵御可能的袭击。,我们应该为废除核武器而奋斗。
每个国家都在谈论和平，同时又在建设和生产更多核武器，这种情况应该被制止，唯一的方式就是废除。,我们应该为废除核武器而奋斗。
每对夫妇都应该有机会拥有生物孩子，否则限制代孕将会粉碎许多梦想。,代孕应该被禁止
每一起犯罪都有不同的原因。司法系统需要能够针对每个个案考虑这些情况。,我们应该限制司法激进主义。
应该尽一切努力逮捕并对嫌疑犯进行审判，而不是暗杀。因为这符合西方法治概念。,我们应该禁止定向杀戮。
世界上每一个政府都应该并且必须支持平权行动，因为这有助于帮助受到歧视影响的人们。,我们应该终止平权行动。
每个人都应该在一切方面拥有平等的机会，应该反对集体主义。,我们应该反对集体主义。
每个个体都应该可以选择是否要投票。,我们应该引入强制投票制度
每个记者都应该有能力报道新闻，无论他们是否有金钱实现这一目标。,我们应该对新闻业进行补贴
每位法官被信任可以提供他们对宪法的个人解释；无法防止他们的决定中出现的内在偏见。,我们应该限制司法激进主义。
每个人都有权选择如何处理自己的身体，我们无权决定未成年人是否接受整形手术会有害。,我们应该禁止未成年人进行整容手术。
在这个时代，每个家长都有权利选择在家自学他们的孩子，因为现在发生了太多校园枪击事件。,家庭教育应该被禁止
每个父母都应该有选择他们孩子性别的权利。,我们应该合法化性别选择。
每个人都有权利控制自己的身体自主权，无论我们是否喜欢。,我们应该禁止未成年人进行整容手术。
每个人都有权拥有自己的信仰，无论这些信仰是否被普遍接受。只要一个人不伤害或危害他人或财产，他就有权选择他所相信的。,否认大屠杀应该是一种犯罪行为
每个人都需要遵循的规则，这样才能保证一切公平。,我们应该采纳自由主义。
每个人都应该自由决定适合自己的生活方式，这并非一刀切的。,我们应该合法化一夫多妻或一妻多夫制度
世界上每一种宗教都有权进行实践。我们可能不同意他们的信仰，有些信仰似乎对他人有害，但他们有权以那种方式相信。,我们应该禁止科学教会。
每种宗教都应该被尊重和实践。,我们应该禁止传教工作
每个宗教信徒都有权祈祷。,我们应该禁止学校祈祷
每个物种都必须成为更大生态系统的一部分。如果相对于它们的食物来源，鲸鱼数量过多，我们要么增加它们的食物量，要么减少它们的数量。,我们应该禁止捕鲸。
每个系统都存在其缺陷，但总体来说，参与寄养护理的人都是充满爱心、投入的个体，心怀孩子们的最大利益。,寄养制度带来的伤害大于益处
每个年轻人都应该有一个可以自由表达自己而不担心报复或嘲笑的地方。,我们应该废除安全空间。
每个人对不同的东西有不同的信仰，所以最好避免在学校谈论宗教，以免冒犯他人。,我们应该禁止学校祈祷
每个人都相信不同的事物，所以祷告在学校里没有立足之地。,我们应该禁止学校祈祷
每个人都应该有机会改变并弥补自己的错误。,我们应该废除三挡立法。
每个人都应该在某个工作机会上有公平的机会。,我们应该终止平权行动。
每个人都应该得到第二次机会，尤其是孩子们。,我们应该在学校实施零容忍政策。
每个人都应该有接受教育的权利。,我们应该对职业教育进行补贴。
每个人都有选择权利，支持骄傲游行对于生活在民主社会中的所有人是义不容辞的。,我们应该取消骄傲游行
每个人都有权相信他们想要相信的事情，所以科学教会应该得到保护和认可。,我们应该禁止科学教会。
每个人都有责任就国家发生的事情发表自己的看法。,我们应该引入强制投票。
每个人都有权相信他们想要的。,我们应该禁止科学悟道教会
每个人都有权利做他们想做的事情。,我们应该禁止使用童星演员。
每个人都有言论和表达自由的权利,我们应该取消骄傲游行。
这个国家的每个人都应该被平等对待。,我们应该采用性别中立的语言
每个人都是不同的，许多人喜欢通过穿衣来表达自己，如果一个人穿着与他人相同的制服，就不容许这个人有自己的个性。,我们应该放弃使用校服。
每个人都有权发表意见，而且每个人的意见都可能不同。根据法律以外的原因惩罚某人是不公平的。,我们应该限制司法激进主义
每个人都有权相信自己想要相信的观念。当一个组织没有强迫成员加入时，我们不应该禁止它。,我们应该禁止科学教会。
每个人都应被允许实践他们想要的任何事情,我们应该采纳无神论。
每个人都应该可以自由使用他人的知识产权。否则这不是一个自由的国家。,我们应该废除知识产权。
每个人都应该被要求投票，因为整个人口的观点需要被记录。,我们应该引入强制投票。
每个人都应该有权利决定何时以及能否承担退休。,我们应该取消强制性的退休制度
每个人都应该有权利做出自己选择对自己身体做什么，自然疗法也有其存在的价值，即使只是作为一个安慰剂。,我们应该禁止自然疗法。
每个人，包括未成年人，都应该可以获得可以帮助增强自信的整形手术。,我们应该禁止未成年人进行整形手术。
每天我们都听说有人在感到沮丧。,社交媒体带来的负面影响大于积极影响。
每个人都可以凭借自己的优点而跻身于领先地位，所以我们应该结束肯定行动，因为它助长了偏见。,我们应该终止平权行动。
每个人都应该有机会接受高等教育，而不必太过担心费用。,我们应该对学生贷款进行补贴。
每个人都应该有获得良好教育的机会，即使他们无法负担学费。,我们应该为学生贷款提供补贴。
每个人都应该在法庭上得到平等的代表机会。,公共辩护律师的使用应该是强制性的
每个人都应该在法庭上得到代表，因为在被证明有罪之前，我们都是无辜的。,公共辩护律师的使用应该是强制性的
每个人都应该因为他们持续的辛勤工作和特殊的努力而受到称赞。,我们应该限制高管的薪酬
每个人都应当有安全感，并且拥有安全的权利。,我们应该废除安全空间。
每个人都有权追随自己的宗教信仰，科学教会也有存在的权利。,我们应该禁止科学教会。
每个人都有权相信任何事物并遵循他们认为最适合自己的宗教，所以我们不能强加无神论。,我们应该接受无神论。
每个人都有权相信他们想相信的事情。,否认大屠杀应该是一种犯罪行为
每个人都有权利庆祝并展示自豪。否则这将是歧视。,我们应该取消骄傲游行。
每个人都有选择信仰宗教的权利，无论他们的信仰和实践是什么，禁止某种宗教是错误的。,我们应该禁止科学系教堂。
每个人都有权追随他们真正信仰的宗教，因此我们不能强加无神论。,我们应该采纳无神论。
每个人都有权做出这个选择。,我们应该禁止整形手术
每个人都有权利获得代表，如果他们自己无力承担费用。,公共辩护律师的使用应当是强制性的
每个人都有自己的信仰权利，包括无神论者在内。,我们应该接受无神论。
每个人都有投票的权利，也有权选择不投票。如果有人认为候选人都不够称职，他们不应该被迫让其中任何人当选。,我们应该引入强制投票。
每个人都有发言权，可以投票决定谁被选入，谁被淘汰。,我们应该引入强制投票。
每个人都有选择的自由，因此使用公共辩护律师不应该是强制性的。,公共捍卫者的使用应该是强制性的
每个人都对自己有看法，应该掌控自己如何对待自己的身体。,我们应该禁止整容手术
每个人都有根据自己认为自己有能力对某个话题进行投票的权利来选择弃权。,我们应该引入强制投票制度。
每个人都有权利以任何使他们感到舒适和自在的方式改变他们的身体或外表。,我们应该禁止整形手术
每个人都有权拥有律师，并且实际上需要一个律师来指导复杂的刑事司法系统。,应当强制使用公共辩护律师
每个人都有权选择变得无知。,否认大屠杀应该成为一种刑事犯罪。
每个人都有权利做自己。,我们应该取消骄傲游行。
每个人都有权选择成为自己想成为的样子，政府无权阻止。,我们应该合法化性别选择。
每个人都有权相信他们选择的任何事情。,我们应该接受无神论。
每个人都有身体自主权的权利。如果一个人选择出售自己的身体进行性交易，这不应该是违法的。,我们应该合法化卖淫。
每个人都有权选择自己的身体该做什么。,我们应该禁止整形手术。
每个人不论是孩子还是成年人，都有权利发展自己的最大潜力。,我们应该禁止使用童星。
每个人都有权利对自己的身体做出最好的决定，只要这不会伤害到其他人。,我们应该禁止未成年人进行整容手术。
每个人都有权利追随任何宗教，不论对外界来说它看起来多么奇怪。,我们应该禁止科学教会。
每个人都有选择的自由权利。,我们应该采纳古典自由主义。
每个人都有权举办骄傲大游行。,我们应该取消彩虹骄傲游行。
每个人都有宗教自由的权利，无论其信仰看起来多么奇怪，都应该得到捍卫。,我们应该禁止科学教会。
每个人都有权获得他们负担得起的最好的法律代表，以确保他们的权利。,公共捍卫者的使用应该是强制性的
每个人都有权利获得最好的法律代表，并不受法律体制的限制。,公共辩护律师的使用应该是强制性的
每个人都有权选择自己的信仰和生活方式，没有人应该能够说同性恋者不应该庆祝他们的同性恋倾向。,我们应该取消骄傲游行。
每个人都有权利按照他们的意愿对待自己的身体，而整形手术是这种权利的一种体现。,我们应该禁止未成年人进行整容手术。
每个人都有权在刑事司法系统中获得公正审判，因此公共辩护律师必须是强制性的。,公共辩护人的使用应该是强制性的
世界上每个人都有自己的信仰和不同的观念，我所看到的唯一不好的一点是，人们对这些信仰的成员往往具有选择性，应该面向所有人，而不仅仅是高经济地位的人。,我们应该禁止科学教会。
这个国家的每个人都拥有选择的自由，包括未成年人。如果他们想要接受手术，那就让他们如愿以偿。,我们应该禁止未成年人做整形手术
每个人都有被改造的潜力，但对于死刑来说是不可能的。,我们应该废除死刑。
每个人都有权获得辩护。了解到公共辩护人是必须的可以给那些被自身境况压垮的人一些安慰。,公共捍卫者的使用应该是强制性的
每个人都有权选择不仅如何活着，也包括如何结束自己的生命。,协助自杀应被视为犯罪行为
每个人都有权发表自己的观点。,我们应该限制司法激进主义
每个人都有权利选择相信或不相信大屠杀。,否认大屠杀应当构成犯罪。
每个人都可以自由地相信任何事情，没有被迫的因素。,否认大屠杀应该是一种犯罪行为
每个人都有权决定他们想要用生活做什么，包括你吃什么，如果你教孩子吃蔬菜，快餐就不会有生意。,我们应该禁止快餐
每个人都期待着每4年才能看到一次的体育赛事。,我们应该废除奥运会。
每个人都会犯错误，应该被给予第二次机会，而零容忍政策则不会允许这种情况发生。,我们应该在学校实行零容忍政策。
每个人都必须有权利捍卫自己、家人和财产，越来越多的罪犯携带枪支，如果房主没有枪支，他们就会变得毫无防御能力。,我们应当废除持有和携带武器的权利。
每个人都需要一个可以在那里被接受而不受评判的地方。,我们应该废除安全空间
每个人都需要一个让他们感到安全的地方。,我们应该废除安全空间。
每个人都需要对自己负责，拥有权利做出所有自己的决定并确立自己的价值观。团体不应该被允许告诉他们该做什么。,我们应该反对集体主义。
每个人都需要在某个时候死去，胚胎细胞研究主要将用于帮助富人。,我们应该资助胚胎干细胞研究
每个人都需要努力工作才能得到他们想要的东西。,我们应该取消平权行动。
无论种族如何，每个人都应该受到平等对待。,我们应该结束种族歧视定型。
每个人都应该接受无神论，因为我们已经远离了古代的存在解释，并且科学可以解释宇宙的起源。,我们应该接受无神论。
每个人都应该有权拥有武器，以便保护自己、家人和家园。,我们应该废除携带和拥有武器的权利。
每个人应该能够选择自己的命运，包括选择何时离世，因此帮助他人实现这一选择不应被视为犯罪。,协助自杀应被视为刑事犯罪。
每个人在法庭上都应该能够得到完全相同的代表，因为这有助于确保公平审判。因此，要求公共辩护律师是为了让双方在一个公平的起跑线上开始。,应强制使用公共辩护律师
每个人都应该在学校或教堂中想要祈祷时都应该有这个权利。,我们应该禁止学校祈祷
每个人都应该被允许庆祝自己的存在，并让他人对此有更深层的理解。,我们应该取消骄傲游行。
每个人都应该被允许选择去改善他们的外貌。,我们应该禁止未成年人进行整容手术。
每个人都应该被允许在任何地方实践自己的信仰，很多人依靠祈祷来应对紧张的情况，比如考试，没有祈祷的话，心理健康问题可能会增加。,我们应该禁止学校祈祷
每个人都应该被允许使用可用的证据来决定他们认为大屠杀发生了什么事情。,否认大屠杀应该是一种犯罪行为
每个人都应该享有言论自由的权利，只要不是在煽动仇恨和否认大屠杀发生这样的情况下。,否认大屠杀应被视为犯罪行为。
每个人都应该自由地做他们想做的事情.,我们应该禁止烧国旗。
每个人都应该有权利自由表达，即使他们的言论被认为是冒犯的。,否认大屠杀应该是一种犯罪行为
每个人都应该自由地过自己想要的生活，只要他们不伤害任何人或侵犯别人过他们想要的生活的权利。,我们应该采纳古典自由主义。
每个人都应该自由选择使用任何类型的药物来治疗疾病 - 法律不应该指定他们该做什么，那将侵犯他们的自由权利。,顺势疗法带来的危害大于好处。
每个人都应该自由选择信仰他们想要信仰的宗教。,我们应该禁止科学教会。
每个人都应该自由地崇拜自己的神灵，遵循自己的宗教。,我们应该禁止科学基督教教会
每个人都应该自由选择信仰任何他们愿意的宗教。,我们应该接受无神论。
每个人都应该被赋予宗教自由，因此那些想要追随科学教会的人应该被允许这样做，因此，它不应该被禁止。,我们应该禁止科学教会。
每个人都应被要求投票，以确保当选的人是由多数人选择出来的。,我们应该引入强制投票。
每个人都应该接受免费的大学教育，而不是职业性的学位。,我们应该为职业教育提供补贴。
每个人都应该有机会庆祝自己的文化，包括同性恋文化在内。,我们应该取消骄傲大游行
每个人都应该对自己的身体有选择权，如果出售器官是其中之一，他们应该有自由选择的权利。,我们应该合法化器官买卖。
每个人都应该拥有更少政府干预的选择自由。,我们应该采纳古典自由主义。
每个人都应该有幸福的权利。,我们应该禁止整形手术
每个人都应该有权利对大屠杀是否发生持有自己的信仰。,否认大屠杀事件应该是一种刑事犯罪。
每个人无论年龄都应拥有对自己身体的完全自治权。,我们应该禁止未成年人进行整容手术
每个人都应该有享有同等的辩护权利。,公共辩护律师的使用应该是强制性的。
每个人都应该有一个让他们感到安全的地方。,我们应该废除安全空间。
每个人都应该有上大学的能力，而不仅仅是富人。,我们应该为学生贷款提供补贴。
每个人应该拥有最好的防御手段。,公共捍卫律师的使用应该是强制性的
每个人都应该有选择何时退休的权利。,我们应该结束强制退休。
每个人都应该有选择他们吃什么的自由，快餐在适度食用时是完全可以的，它在现代社会中也有重要的作用，因此绝对不应该被禁止。,我们应该禁止快餐。
每个人都应该有选择不参与投票过程的权利，如果他们愿意的话。,我们应该引入强制投票。
每个人都应该有权选择谁代表他们出庭。,公共辩护律师的使用应该是强制性的
每个人都应该有选择自己想要走的方向的权利，如果有人处于无法忍受的痛苦中，没有生活质量，那么他们应该有寻求帮助的权利。,协助自杀应该被视为犯罪行为
每个人都应该有权利对自己的身体做任何他们希望的事情。,我们应该禁止整形手术
每个人都应该拥有权利自行决定如何处理自己的身体。,我们应该禁止未成年人进行整形手术。
每个人都应该拥有言论自由的权利。,否认大屠杀应成为刑事犯罪。
每个人都应有权加入他们希望加入的任何团体，只要他们没有以任何犯罪方式行为。,我们应该禁止科学教会。
每个人都应该有权利拥有和携带武器来进行自我保护。,我们应该废除持有和携带武器的权利。
每个人都应该有言论自由的权利，即使这意味着通过烧国旗传达消息。,我们应该禁止烧国旗。
每个人都应该有自己的观点权利。,否认大屠杀应该被视为犯罪行为
每个人都应该拥有同等水平的法律援助。,公共辩护律师的使用应该是强制性的。
每个人都应该有权选择跟自己想要结婚的人以及结婚的数量，限制这种选择是违反宪法的。,我们应该合法化一夫多妻/一妻多夫制度
每个人都应该有权发表自己的观点，即使这个观点是错误的。,否认大屠杀应该被视为刑事犯罪
每个人都应该参与投票，并为我们的国家做出选择。,我们应该引入强制投票。
每个人都应该使用强制性的公共辩护人，这样就不会有人因为偏袒而接受更高质量的辩护服务。,公共辩护律师的使用应该是强制性的。
每个人都应该投票，确保这一点的唯一途径是实行强制投票制度。,我们应该引入强制投票制度
每个人都应该投票，但投票率在持续下降。这将确保每个人都参与到民主进程中。,我们应该引入强制投票制度。
每个人使用公共辩护律师将使刑事司法系统更加公平。,公共辩护律师的使用应该是强制性的。
在选举中有合法投票权的每个人都应该被强制参加投票。这就是为什么应该引入强制投票制度。没有什么比选举我们国家领导人更重要的了。,我们应该引入强制投票。
每个人都应该能够像其他人一样获得法律代表。,公共辩护律师的使用应该是强制性的
如果强制投票，每个人都可以发表自己的意见。,我们应该推行强制投票制度。
每个人对智力的定义都有所不同，因此测试都是浪费时间。,智力测试带来的危害大于益处。
关塔那摩湾的一切都违反了基本的国际人权。人们被羁押而无须审判，遭受酷刑和虐待。,我们应该关闭关塔那摩湾拘留营。
应该尽一切努力鼓励人们完成大学学业。这最终会带来一个受过更好教育的人口，从而使整个社会受益。,我们应该对学生贷款进行补贴
每样东西都应该是免费的，可以随意使用。,我们应该废除知识产权。
证据显示，科学研究教会是一个洗钱、腐败的组织，它隐藏在宗教地位背后，同时虐待其成员。,我们应该禁止科学教会。
邪恶已经渗透到社会中，有时除了诉诸武力来根除它之外别无其他办法，邪恶无法通过言辞克服，必须用火攻火来进行斗争。,我们应该禁止有预谋的杀戮。
邪恶的人可能会找到新的方式来获取器官清单以进行贩卖。,我们应该合法化器官交易
邪恶的政权靠权力和金钱获得滋生。制裁有效的原因是它们剥夺了这些政权的财力，从而削弱了它们积聚权力的能力。,我们应该结束使用经济制裁。
与众多员工较少的报酬相比，高管过分高昂的薪酬水平是极不成比例的，因此应该限制薪酬水平，使其与更公平的比例相符。,我们应该限制高管的薪酬
过多地看电视会导致久坐不动的生活方式和肥胖。,我们应该放弃电视。
过高的薪水会损害公司的盈利能力，并且是在滥用股东的利益。,我们应该限制高管薪酬。
高管经常被支付荒谬地高的金额，这与他们所做的工作不相称。,我们应限制高管薪酬。
高管薪酬能够帮助公司吸引最优秀的人才。,我们应该限制高管的薪酬
高管薪酬可能失控。,我们应该限制高管薪酬。
高管薪酬造成了不公平的情况。,我们应该限制高管薪酬。
高管薪酬可能会鼓励洗钱和腐败活动,我们应该限制高管薪酬
高管薪酬制度在“高管”和“工人”之间构筑了一道障碍，应该限制到一个不会在两者之间造成如此巨大差异的水平。,我们应该限制高管的薪酬
高管薪酬让公司员工感到沮丧，因为他们的收入只是ceos收入的一小部分。收入不平等问题需要得到解决，限制高管薪酬是第一步。,我们应该限制高管的薪酬
高管薪酬通过将利润拿走股东来贬值公司。,我们应该限制高管的薪酬
高管薪酬鼓励腐败。,我们应该限制高管薪酬。
高管薪酬鼓励他们为薪水而工作。,我们应该限制高管薪酬
高管薪酬确保公司留住具有能力和知识的高管，以提供必要的高质量服务和产品。,我们应该限制高管的薪酬
高管薪酬应该给予那些对公司的活力和增长做出积极贡献的人以认可，并应继续以鼓励高管为公司的发展努力的作风。,我们应该限制高管的薪酬
高管薪酬已经膨胀到过度水平，远远超过任何一个个人对公司绩效的价值，引发了普通员工的憎恶情绪。,我们应该限制高管的薪酬
高管薪酬已经被夸大到令人难以置信的程度，往往被视为在奖励失败，同时也加剧了董事会成员与公司蓝领工人之间的脱节，对公司造成了有害影响。,我们应该限制高管薪酬。
高管的薪酬已经失控，而且是以低薪工人为代价支付的。这种情况是由过度高薪的员工和董事会成员不断为自己投票涨工资造成的。,我们应该限制高管薪酬。
高管薪酬已经失控，太多的薪酬都流向了高层人员，而不是足够分配给底层工人。,我们应该限制高管薪酬。
高管薪酬已经达到了天文数字，拉大了员工和高管之间的薪酬差距，这有可能导致不和谐和可能的冲突。,我们应限制高管薪酬
高管薪酬必须受限制，以便让公司能够实现盈利。,我们应该限制高管的薪酬
高管薪酬有助于吸引具有领导才能的人才，推动公司实现盈利增长。,我们应该限制高管的薪酬
高管薪酬的增加会增加成本，同时减少其他员工可能获得的福利。,我们应该限制高管的薪酬
高管薪酬是对出色工作的奖励。,我们应该限制高管薪酬。
高管薪酬是一场闹剧，只是富人逃避税收的一种方式，他们毫无限制地拿取大量的金钱和奖励。,我们应该限制高管的薪酬。
高管薪酬是一种很好的方式，可以奖励那些做得比平均水平更好的人，而不必将其作为工资的一部分。,我们应该限制高管的薪酬
高管薪酬是一种很好的方式，奖励那些超越正常工资标准的高管所做出的贡献。,我们应该限制高管薪酬
高管薪酬简直是个笑话。这是高管们无论公司表现如何，都在股东的背后奖励自己。,我们应该限制高管的薪酬
高管薪酬是对那些努力工作以登上职业生涯巅峰的人的奖励；限制薪酬是不公平的。,我们应该限制高管薪酬。
高管薪酬是一种奖励和激励顶级员工的方式。,我们应该限制高管的薪酬
高管薪酬是对无监管资本主义的滥用，将财富集中在非常少数的人手里。,我们应该限制高管薪酬。
高管薪酬过高，削弱了基层员工的工作力量。,我们应该限制高管的薪酬
高管薪酬是为了提供他们奢华的生活方式。,我们应该限制高管的薪酬
高管薪酬并不总是有效的，而且会削减其他大部分从事繁重工作的员工的收入。,我们应限制高管的薪酬
高管薪酬并不是基于业绩而给予的报酬，因为即使公司亏损，他们也会得到支付。,我们应该限制高管的薪酬
高管薪酬通常被视为奖励董事会的无能，经常过分高额，并加剧了公司员工和董事会之间的不平等分歧。,我们应该限制高管的薪酬
高管薪酬是政府用来支付工资和福利的机制之一。,我们应该限制高管的薪酬
高管薪酬失控，导致基层工人处于困境。,我们应限制高管的薪酬
高管薪酬失控，抑制了公司员工的收入能力。,我们应该限制高管的薪酬
高管薪酬失控。高管薪酬远远超过执行基层员工，二者都在提供有价值的服务，这在道德上是错误的。,我们应该限制高管薪酬。
高管薪酬过高。这些钱应该受到限制，多余的部分应该下放给公司中大部分工作、挣得较低工资的员工。,我们应该限制高管的薪酬
高管薪酬仅仅是现代薪酬方案的一部分，就像基本工资一样，为了吸引最优秀的人才到一个组织，一个有吸引力的薪酬计划是必须的。,我们应该限制高管的薪酬
高管薪酬是逃税行为，应严格限制。,我们应该限制高管的薪酬
高管薪酬是公司本身的事务，需要具有竞争力，以吸引最优秀的高管来管理他们的公司。,我们应当限制高管薪酬
高管薪酬过高，而真正从事实际体力劳动的人的工资却不足。部分这些钱应该支付给员工。,我们应该限制高管的薪酬。
高管的薪酬太高了。他们挣的这些荒谬的钱应该分配给在公司中做大部分实际工作的员工。,我们应该限制高管的薪酬
高管薪酬必须由公正的权威机构管理，以避免人们获得超出其真正应得的酬劳。,我们应该限制高管的薪酬
高管薪酬需要相对较高，才能吸引最优秀的人才到相应职位。,我们应该限制高管薪酬。
高管薪酬应该受限，使劳动力看起来更加平等。这样做将提高士气，提升基层员工的授权。,我们应该限制高管的薪酬
高管薪酬忽视了那些帮助高管取得地位的人，而却向那些不值得得到补偿的人发放薪酬。,我们应该限制高管的薪酬
高管薪酬忽略了那些帮助提高高管工作活力的人，即使他们做了所有的工作，也不会得到任何报酬。,我们应该限制高管的薪酬
高管薪酬方案对于吸引最优秀的人才进入公司是必要的 - 这仅仅是市场经济、供需关系的体现。,我们应该限制高管薪酬
高管薪酬促进了公司的成功和竞争。它是激励首席执行官引导公司，帮助公司做好并为所有员工赚钱的动力。,我们应限制高管薪酬
高管薪酬为人们承担高度责任的职位提供了激励，推动经济迈向新的高度，创造出更多财富。,我们应该限制高管的薪酬
高管薪酬激励高管行动，使其有利于公司和股东。,我们应该限制高管的薪酬
高管薪酬体现了员工的职责，薪酬是对工作表现出色的奖励。,我们应该限制高管的薪酬
高管薪酬奖励富人，而普通工人只拿到最低工资。这只会加剧富人与穷人之间的差距。,我们应该限制高管的薪酬
高管的薪酬应该由雇佣他们的公司自行决定。,我们应该限制高管的薪酬
高管薪酬应该公平合理，而且不应该因此导致公司其他成员和股东遭受损失。,我们应该限制高管的薪酬
应该给那些努力工作并为之付出努力的人发放高管薪酬。,我们应该限制高管的薪酬
高管薪酬应该受到限制，因为这会让表现不佳的高管得到不当奖励并丧失激励。,我们应该限制高管薪酬
高管薪酬应该受到限制，因为很难证明他们获得如此巨额的工资和奖金是合理的。,我们应该限制高管的薪酬。
高管薪酬应当受到限制，因为过高的薪酬会削弱他们的激励，且可能奖励管理层的糟糕表现。,我们应该限制高管的薪酬
高管薪酬应受到限制，因为当员工看到高层管理人员获得过高的薪酬时，会感到泄气。,我们应该限制高管的薪酬
高管薪酬应该受到限制，因为这往往会导致失败的高管过度获得奖励，这会对公司和社会造成损害。,我们应该限制高管的薪酬
高管薪酬应该受到限制，因为这不公平地导致成本向终端用户传导，使用户不得不为产品或服务支付比其价值更高的金额。,我们应该限制高管的报酬。
高管薪酬应受限制，因为过高工资会削减本该归股东的利润。,我们应该限制高管薪酬
高管薪酬应该受限，因为我不认为高管们仅仅因为这个职位就应该得到很多额外的报酬。,我们应该限制高管薪酬
高管薪酬应当受到限制，因为它可被视为收入并纳税。,我们应该限制高管的薪酬。
高管薪酬应受到限制，因为它可能导致组织中的高端腐败。,我们应该限制高管的报酬
高管薪酬应受限制，因为重要的是员工创造的财富能够公平分享。,我们应该限制高管的薪酬。
高管薪酬应该受限，因为CEO不应该比公司普通员工赚那么多，这是不公平的。,我们应该限制高管的薪酬
高管薪酬应该受到限制，因为他们已经得到了最高的薪水，当公司的其他成员在奋斗时，他们不应再获得额外的奖金和礼物。,我们应该限制高管的薪酬。
高管薪酬应受限制，因为太多公司支付他们的高管比其他员工的薪酬高得不成比例。,我们应该限制高管薪酬
高管薪酬应受限制，以缩小C级员工和基层工人之间的工资差距。,我们应该限制高管的薪酬
高管薪酬应受限制甚至完全停止。这是一种在不实际使用货币的情况下向人们支付报酬的方式，这是不正确的，容易导致逃税或欺诈行为。,我们应该限制高管的报酬。
高管的薪酬应该受到限制，因为这对其他员工是不公平的,我们应该限制高管的薪酬。
高管薪酬应受限制，以便更多的低层员工能够赚取更多的钱,我们应该限制高管的薪酬
高管薪酬应当受限，以便实现公司创造的财富在整个员工队伍中更公平地分配。,我们应该限制高管的薪酬
高管薪酬应受限制，以防止那些在公司担任权力和有影响力职位的人滥用权力以追求天文数字的财富。,我们应该限制高管的报酬
执行高管的薪酬应受限制，以便让底层员工能够赚取更多的钱。,我们应该限制高管报酬。
高管薪酬应限制在合理水平，而不是天文数字的七位数金额。,我们应该限制高管薪酬
高管薪酬应当受到限制，以便可以向公司大多数员工支付更公平的工资。往往情况是，前1%的人收到了90%的薪酬，这是不公平的。,我们应该限制高管的薪酬
应限制高管薪酬，以确保公司由成千上万的员工支持，而不是让最高层员工独揽所有回报。所有员工都为公司的成功做出了贡献。,我们应该限制高管薪酬。
高管薪酬应受限制，以提高公司的盈利能力。,我们应限制高管薪酬
当公司出现亏损时，高管薪酬应受到限制。,我们应该限制高管薪酬。
高管薪酬应当受到限制，因为让公司中的一个人获得比其他为公司工作的人更多的报酬是不公平的。,我们应该限制高管的薪酬
高管薪酬应该由公司决定。,我们应该限制高管薪酬。
高管薪酬不应受限制，因为这可以让组织吸引公司最优秀的人才，并增加激励。,我们应该限制高管薪酬
高管薪酬不应受限制，因为这有助于组织吸引最优秀的管理人员，从而带动整个就业层级的回报。,我们应该限制高管的薪酬。
不应限制高管薪酬，因为这些有远见的人对公司的增长至关重要，这会使所有员工受益。,我们应该限制高管的报酬
